"address","name","device_type","group"
"172.16.240.201","R1","cisco_ios","router"
"172.16.240.202","R2","cisco_ios","router"
"172.16.240.203","AS1","cisco_ios_telnet","switch"
"172.16.240.204","AS2","cisco_ios_telnet","switch"
"172.16.240.205","S1","cisco_ios_telnet","switch"
"172.16.240.206","S2","cisco_ios_telnet","switch"
"172.16.240.207","S3","cisco_ios_telnet","switch"
"172.16.240.208","S4","cisco_ios_telnet","switch"
"172.16.240.209","S5","cisco_ios_telnet","switch"
"172.16.240.210","S6","cisco_ios_telnet","switch"
"172.16.240.211","S7","cisco_ios_telnet","switch"
"172.16.240.212","S8","cisco_ios_telnet","switch"
